,Assets,Start_Date,Test_Start_Date,End_Date
Growth_Val_Mkt_Cap,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX,1/1/90,1/1/00,12/31/20
GVMC,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX,1/1/90,1/1/00,12/31/22
Growth_Val_Mkt_Cap_and_Bonds,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX FPNIX,1/1/90,1/1/00,12/31/20
GVMC_and_Bonds,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX FPNIX,1/1/90,1/1/00,12/31/22
SPDR_ETF_Sectors,XLK XLV XLF XLE XLB XLY XLI XLU XLP,1/1/99,1/1/08,12/31/20
Sectors,XLK XLV XLF XLE XLB XLY XLI XLU XLP,1/1/99,1/1/08,12/31/22
Sectors_and_Bonds,XLK XLV XLF XLE XLB XLY XLI XLU XLP FPNIX,1/1/99,1/1/08,12/31/22
SPDR_ETF_Sectors_and_Bonds,XLK XLV XLF XLE XLB XLY XLI XLU XLP FPNIX,1/1/99,1/1/08,12/31/20
Universe_1,FPNIX XLK XLV XLF XLE XLB XLY XLI XLU XLP GOLD IWF IWR IWD IWN,1/1/01,1/1/07,12/31/20
Commodities,BA BC CN CO GD IO NG PO SB SO WH,1/1/90,1/1/00,12/31/20
Countries,^SP500TR ^HSI ^GDAXI ^FCHI ^N225 ^FTSE ^GSPTSE ^KS11 ^BVSP ^BSESN,1/1/98,1/1/08,12/31/22
Dev_Mkts,^SP500TR ^HSI ^GDAXI ^FCHI ^GSPTSE,1/1/91,1/1/00,12/31/22
Developed_Markets,^SP500TR ^HSI ^GDAXI ^FCHI ^GSPTSE,1/1/91,1/1/00,12/31/22
Combined,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX XLK XLV XLF XLE XLB XLY XLI XLU XLP ^SP500TR ^HSI ^GDAXI ^FCHI ^GSPTSE,1/1/99,1/1/08,12/31/22
Combined_Ex_SP500,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX XLK XLV XLF XLE XLB XLY XLI XLU XLP ^HSI ^GDAXI ^FCHI ^GSPTSE,1/1/99,1/1/08,12/31/22
GVMC_08,FDGRX FLPSX FOCPX FGRIX OPOCX HRTVX,1/1/90,1/1/08,12/31/22
Dev_Mkts_08,^SP500TR ^HSI ^GDAXI ^FCHI ^GSPTSE,1/1/91,1/1/08,12/31/22